District,RegVoters,AMURIAT OBOI PATRICK,KABULETA KIIZA JOSEPH,KALEMBE NANCY LINDA,KATUMBA JOHN,KYAGULANYI SSENTAMU ROBERT,MAO NORBERT,MAYAMBALA WILLY,MUGISHA MUNTU GREGG,MWESIGYE FRED,TUMUKUNDE HENRY KAKURUGU,YOWERI MUSEVENI  KAGUTA,Valid Votes,InvalidVotes,Total Votes,Received Station,DintVote,Percentage,color
088 ALEBTONG,115804,1920,604,425,297,16794,446,419,634,389,860,42832,65620,3207,68827,"248/
248",46977,40.57, #ff0086
089 BULAMBULI,71664,700,65,132,43,10788,57,16,57,87,104,38972,51021,1539,52560,"245/
245",19104,26.66, #ff0087
090 BUVUMA,42415,208,25,106,68,13572,98,14,62,43,47,6814,21057,848,21905,"108/
108",20510,48.36, #ff0088
091 GOMBA,81314,71,33,43,71,29017,50,16,76,46,89,24568,54080,1564,55644,"207/
208",25670,31.57, #ff0089
092 KIRYANDONGO,125685,894,492,175,150,13893,527,67,258,204,288,38083,55031,4662,59693,"244/
244",65992,52.51, #ff0090
093 KYANKWANZI,108311,163,77,94,112,24529,74,21,134,138,155,39859,65356,2509,67865,"255/
255",40446,37.34, #ff0091
094 LUUKA,116094,361,73,487,107,31842,107,34,137,82,183,27520,60933,2450,63383,"227/
227",52711,45.40, #ff0092
095 NAMAYINGO,107234,1011,281,404,178,27651,129,165,227,253,242,27341,57882,3110,60992,"216/
216",46242,43.12, #ff0093
096 NTOROKO,38098,89,61,68,47,4212,28,11,187,50,103,19670,24526,756,25282,"85/
85",12816,33.64, #ff0094
097 SERERE,130290,26722,1200,414,232,6013,251,123,617,378,771,38555,75276,3876,79152,"240/
240",51138,39.25, #ff0095
098 BUKOMANSIMBI,76557,118,30,42,92,32155,106,18,52,34,88,13649,46384,1207,47591,"147/
151",28966,37.84, #ff0096
099 BUTAMBALA,55813,83,22,45,59,26806,47,16,49,38,43,9379,36587,1135,37722,"123/
123",18091,32.41, #ff0097
100 KALUNGU,88687,119,33,51,81,38352,120,25,97,41,94,16377,55390,1387,56777,"188/
188",31910,35.98, #ff0098
101 SHEEMA,129151,2409,343,334,866,8851,119,53,1646,138,349,65220,80328,2201,82529,"251/
251",46622,36.10, #ff0099
102 KIBUKU,91971,549,66,169,102,23624,79,45,188,131,215,34078,59246,1414,60660,"194/
194",31311,34.04, #ff0100
103 KOLE,119437,938,510,373,371,15937,468,141,447,274,619,46900,66978,3197,70175,"224/
225",49262,41.25, #ff0101
104 KWEEN,47080,662,46,112,47,4005,133,28,49,30,105,27467,32684,1038,33722,"152/
152",13358,28.37, #ff0102
105 LWENGO,139772,287,132,132,182,47742,121,32,155,64,160,36411,85418,2687,88105,"270/
270",51667,36.97, #ff0103
106 MITOOMA,111839,1827,129,220,466,6561,101,37,1356,67,388,54935,66087,1711,67798,"259/
259",44041,39.38, #ff0104
107 NAPAK,56678,354,23,26,22,912,43,110,66,34,463,32490,34543,2829,37372,"145/
145",19306,34.06, #ff0105
108 NGORA,72976,14618,320,392,105,2237,165,67,156,184,268,24662,43174,1769,44943,"121/
121",28033,38.41, #ff0106
109 BUHWEJU,66649,993,159,123,325,3602,83,34,490,94,293,41423,47619,1273,48892,"182/
182",17757,26.64, #ff0107
110 NWOYA,57186,809,327,396,192,5732,2570,126,361,450,267,13910,25140,1552,26692,"132/
132",30494,53.32, #ff0108
111 AGAGO,98354,1595,337,299,202,10559,1834,243,407,356,433,47696,63961,2572,66533,"211/
211",31821,32.35, #ff0109
112 RUBIRIZI,73848,490,178,78,224,6338,79,24,515,85,360,39686,48057,1306,49363,"136/
136",24485,33.16, #ff0110
113 KAGADI,175680,840,1129,181,265,15758,105,51,442,614,399,88830,108614,5037,113651,"404/
404",62029,35.31, #ff0111
114 KAKUMIRO,140691,305,690,89,166,10903,77,30,304,83,321,73132,86100,3347,89447,"317/
317",51244,36.42, #ff0112
115 OMORO,72216,1019,765,532,215,7169,2805,201,409,197,231,20902,34445,2557,37002,"158/
158",35214,48.76, #ff0113
116 RUBANDA,111615,1908,112,183,553,5735,104,35,635,122,517,67263,77167,1889,79056,"223/
223",32559,29.17, #ff0114
117 BUNYANGABU,92440,432,144,222,254,9816,56,33,553,108,204,44435,56257,1636,57893,"184/
184",34547,37.37, #ff0115
118 BUTEBO,51443,737,108,92,120,10890,52,12,75,91,114,23532,35823,912,36735,"119/
119",14708,28.59, #ff0116
119 KYOTERA,124872,183,46,124,131,49132,210,25,151,74,102,25598,75776,2279,78055,"219/
224",46817,37.49, #ff0117
120 NAMISINDWA,97191,791,91,122,81,12780,61,67,100,530,138,40563,55324,3351,58675,"254/
254",38516,39.63, #ff0118
121 PAKWACH,78801,1557,163,242,117,12576,261,220,205,162,312,32354,48169,0,48169,"142/
142",30632,38.87, #ff0119
122 RUKIGA,60965,1630,81,162,234,3959,34,30,390,113,328,31251,38212,1583,39795,"115/
115",21170,34.72, #ff0120
